_id,Year/Année,Parent who gave birth/Parent qui a donné naissance,Age of Father or Parent / Âge du père ou parent,Births/Naissances
516,2013,28,60+,3
517,2013,28,N.S./N.P.,349
518,2013,29,<20,2
519,2013,29,20-24,81
520,2013,29,25-29,2605
521,2013,29,30-34,4857
522,2013,29,35-39,1496
523,2013,29,40-44,367
524,2013,29,45-49,89
525,2013,29,50-54,30
526,2013,29,55-59,6
527,2013,29,60+,3
528,2013,29,N.S./N.P.,327
529,2013,30,<20,1
530,2013,30,20-24,75
531,2013,30,25-29,1619
532,2013,30,30-34,6136
533,2013,30,35-39,1950
534,2013,30,40-44,497
535,2013,30,45-49,118
536,2013,30,50-54,37
537,2013,30,55-59,9
538,2013,30,60+,5
539,2013,30,N.S./N.P.,323
540,2013,31,<20,0
541,2013,31,20-24,41
542,2013,31,25-29,920
543,2013,31,30-34,6341
544,2013,31,35-39,2490
545,2013,31,40-44,687
546,2013,31,45-49,145
547,2013,31,50-54,39
548,2013,31,55-59,13
549,2013,31,60+,5
550,2013,31,N.S./N.P.,340
551,2013,32,<20,0
552,2013,32,20-24,37
553,2013,32,25-29,575
554,2013,32,30-34,5502
555,2013,32,35-39,2972
556,2013,32,40-44,792
557,2013,32,45-49,219
558,2013,32,50-54,62
559,2013,32,55-59,27
560,2013,32,60+,6
561,2013,32,N.S./N.P.,274
562,2013,33,<20,2
563,2013,33,20-24,30
564,2013,33,25-29,408
565,2013,33,30-34,4259
566,2013,33,35-39,3563
567,2013,33,40-44,992
568,2013,33,45-49,215
569,2013,33,50-54,81
570,2013,33,55-59,14
571,2013,33,60+,7
572,2013,33,N.S./N.P.,241
573,2013,34,<20,1
574,2013,34,20-24,19
575,2013,34,25-29,255
576,2013,34,30-34,2866
577,2013,34,35-39,3898
578,2013,34,40-44,1124
579,2013,34,45-49,267
580,2013,34,50-54,68
581,2013,34,55-59,14
582,2013,34,60+,12
583,2013,34,N.S./N.P.,225
584,2013,35,<20,0
585,2013,35,20-24,20
586,2013,35,25-29,161
587,2013,35,30-34,1616
588,2013,35,35-39,3863
589,2013,35,40-44,1160
590,2013,35,45-49,320
591,2013,35,50-54,90
592,2013,35,55-59,15
593,2013,35,60+,4
594,2013,35,N.S./N.P.,232
595,2013,36,<20,0
596,2013,36,20-24,13
597,2013,36,25-29,131
598,2013,36,30-34,922
599,2013,36,35-39,3192
600,2013,36,40-44,1306
601,2013,36,45-49,346
602,2013,36,50-54,88
603,2013,36,55-59,35
604,2013,36,60+,7
605,2013,36,N.S./N.P.,197
606,2013,37,<20,0
607,2013,37,20-24,9
608,2013,37,25-29,89
609,2013,37,30-34,559
610,2013,37,35-39,2378
611,2013,37,40-44,1287
612,2013,37,45-49,407
613,2013,37,50-54,95
614,2013,37,55-59,30
615,2013,37,60+,5
616,2013,37,N.S./N.P.,176
617,2013,38,<20,0
618,2013,38,20-24,5
619,2013,38,25-29,70
620,2013,38,30-34,390
621,2013,38,35-39,1685
622,2013,38,40-44,1304
623,2013,38,45-49,393
624,2013,38,50-54,104
625,2013,38,55-59,22
626,2013,38,60+,5
627,2013,38,N.S./N.P.,156
628,2013,39,<20,0
629,2013,39,20-24,3
630,2013,39,25-29,42
631,2013,39,30-34,198
632,2013,39,35-39,977
633,2013,39,40-44,1136
634,2013,39,45-49,357
635,2013,39,50-54,105
636,2013,39,55-59,23
637,2013,39,60+,7
638,2013,39,N.S./N.P.,134
639,2013,40,<20,1
640,2013,40,20-24,2
641,2013,40,25-29,29
642,2013,40,30-34,127
643,2013,40,35-39,502
644,2013,40,40-44,887
645,2013,40,45-49,352
646,2013,40,50-54,93
647,2013,40,55-59,21
648,2013,40,60+,5
649,2013,40,N.S./N.P.,100
650,2013,41,<20,1
651,2013,41,20-24,0
652,2013,41,25-29,15
653,2013,41,30-34,86
654,2013,41,35-39,252
655,2013,41,40-44,631
656,2013,41,45-49,286
657,2013,41,50-54,77
658,2013,41,55-59,18
659,2013,41,60+,6
660,2013,41,N.S./N.P.,68
661,2013,42,<20,0
662,2013,42,20-24,4
663,2013,42,25-29,12
664,2013,42,30-34,59
665,2013,42,35-39,135
666,2013,42,40-44,420
667,2013,42,45-49,220
668,2013,42,50-54,74
669,2013,42,55-59,22
670,2013,42,60+,2
671,2013,42,N.S./N.P.,62
672,2013,43,<20,0
673,2013,43,20-24,1
674,2013,43,25-29,4
675,2013,43,30-34,19
676,2013,43,35-39,60
677,2013,43,40-44,216
678,2013,43,45-49,165
679,2013,43,50-54,37
680,2013,43,55-59,13
681,2013,43,60+,4
682,2013,43,N.S./N.P.,49
683,2013,44,<20,0
684,2013,44,20-24,0
685,2013,44,25-29,4
686,2013,44,30-34,8
687,2013,44,35-39,32
688,2013,44,40-44,107
689,2013,44,45-49,86
690,2013,44,50-54,32
691,2013,44,55-59,5
692,2013,44,60+,4
693,2013,44,N.S./N.P.,23
694,2013,<15,<20,8
695,2013,<15,20-24,2
696,2013,<15,25-29,0
697,2013,<15,30-34,0
698,2013,<15,35-39,0
699,2013,<15,40-44,0
700,2013,<15,45-49,0
701,2013,<15,50-54,0
702,2013,<15,55-59,0
703,2013,<15,60+,0
704,2013,<15,N.S./N.P.,6
705,2013,>44,<20,0
706,2013,>44,20-24,0
707,2013,>44,25-29,2
708,2013,>44,30-34,12
709,2013,>44,35-39,29
710,2013,>44,40-44,70
711,2013,>44,45-49,137
712,2013,>44,50-54,78
713,2013,>44,55-59,26
714,2013,>44,60+,18
715,2013,>44,N.S./N.P.,46
716,2013,N.S./N.P.,<20,0
717,2013,N.S./N.P.,20-24,0
718,2013,N.S./N.P.,25-29,5
719,2013,N.S./N.P.,30-34,2
720,2013,N.S./N.P.,35-39,2
721,2013,N.S./N.P.,40-44,2
722,2013,N.S./N.P.,45-49,4
